regionsCode,regions,cx,cy,year,income
E12000001,North East,406373.154,568876.6043233972,1997,9038.58
E12000001,North East,406373.154,568876.6043233972,1998,9036.17
E12000001,North East,406373.154,568876.6043233972,1999,9371.25
E12000001,North East,406373.154,568876.6043233972,2000,9856.08
E12000001,North East,406373.154,568876.6043233972,2001,10339.25
E12000001,North East,406373.154,568876.6043233972,2002,10515.42
E12000001,North East,406373.154,568876.6043233972,2003,10841.5
E12000001,North East,406373.154,568876.6043233972,2004,11334.33
E12000001,North East,406373.154,568876.6043233972,2005,11579.33
E12000001,North East,406373.154,568876.6043233972,2006,11995.17
E12000001,North East,406373.154,568876.6043233972,2007,12318.75
E12000001,North East,406373.154,568876.6043233972,2008,12580.92
E12000001,North East,406373.154,568876.6043233972,2009,13167.25
E12000001,North East,406373.154,568876.6043233972,2010,13366.42
E12000001,North East,406373.154,568876.6043233972,2011,13523.08
E12000001,North East,406373.154,568876.6043233972,2012,14116.33
E12000001,North East,406373.154,568876.6043233972,2013,14432.58
E12000001,North East,406373.154,568876.6043233972,2014,14839.08
E12000001,North East,406373.154,568876.6043233972,2015,15374.42
E12000001,North East,406373.154,568876.6043233972,2016,15583.25
E12000001,North East,406373.154,568876.6043233972,2017,15912.58
E12000001,North East,406373.154,568876.6043233972,2018,16347.5
E12000001,North East,406373.154,568876.6043233972,2019,16848.67
E12000001,North East,406373.154,568876.6043233972,2020,17141.67
E12000001,North East,406373.154,568876.6043233972,2021,17476.67
E12000002,North West,352960.5052,461536.2051,1997,9646.09
E12000002,North West,352960.5052,461536.2051,1998,9778.49
E12000002,North West,352960.5052,461536.2051,1999,10244.14
E12000002,North West,352960.5052,461536.2051,2000,10734.46
E12000002,North West,352960.5052,461536.2051,2001,11132.11
E12000002,North West,352960.5052,461536.2051,2002,11388.43
E12000002,North West,352960.5052,461536.2051,2003,11763.49
E12000002,North West,352960.5052,461536.2051,2004,12222.14
E12000002,North West,352960.5052,461536.2051,2005,12636.26
E12000002,North West,352960.5052,461536.2051,2006,13052.37
E12000002,North West,352960.5052,461536.2051,2007,13592.29
E12000002,North West,352960.5052,461536.2051,2008,13851.11
E12000002,North West,352960.5052,461536.2051,2009,14341.46
E12000002,North West,352960.5052,461536.2051,2010,14462.91
E12000002,North West,352960.5052,461536.2051,2011,14609.8
E12000002,North West,352960.5052,461536.2051,2012,15019.71
E12000002,North West,352960.5052,461536.2051,2013,15450.26
E12000002,North West,352960.5052,461536.2051,2014,15834.66
E12000002,North West,352960.5052,461536.2051,2015,16568.37
E12000002,North West,352960.5052,461536.2051,2016,16708.97
E12000002,North West,352960.5052,461536.2051,2017,17126.97
E12000002,North West,352960.5052,461536.2051,2018,17633.54
E12000002,North West,352960.5052,461536.2051,2019,18241.43
E12000002,North West,352960.5052,461536.2051,2020,18356.54
E12000002,North West,352960.5052,461536.2051,2021,18773.97
